uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
A0A1D6IY13,A0A1D6IY13_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d024208,"Zm00001d024208_P002, ",PAC:40179169,AQK40800.1,ZEAMMB73_Zm00001d024208,4577,,UPI0008445386 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
K7THR6,K7THR6_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,"Zm00001d024512_P007, GRMZM2G068808_P02","PAC:40181375, PAC:31000734",AQK41339.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI00022161B7 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6IZP7,A0A1D6IZP7_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,"Zm00001d024512_P006, ",PAC:40181379 ,AQK41332.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI0008429A1D ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6MTY2,A0A1D6MTY2_MAIZE,Zea mays (Maize),Kaurene synthase4,ZEAMMB73_Zm00001d041082,"Zm00001d041082_P001, ",PAC:40234339 ,ONM32346.1,ZEAMMB73_Zm00001d041082,4577,,UPI0002208BA2 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6IZI8,A0A1D6IZI8_MAIZE,Zea mays (Maize),Terpene synthase4,ZEAMMB73_Zm00001d024478,"Zm00001d024478_P001, ",PAC:40178660 ,AQK41277.1,ZEAMMB73_Zm00001d024478,4577,,UPI0008453B0A ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6EFT8,EDSB_MAIZE,Zea mays (Maize),Eudesmanediol synthase (ZmEDS) (EC 4.2.3.197) (Terpene synthase 17) (Terpene synthase 7),EDS TPS17 GRMZM2G010356 ZEAMMB73_Zm00001d004509,"Zm00001d004509_P001, ",PAC:40197392 ,ONM19045.1,"GRMZM2G010356 ZEAMMB73_Zm00001d004509, EDSGRMZM2G1356 ZEAMMB73_Zm1d459, EDSEDS, TPS17",4577,4.2.3.197,UPI0002218960 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Plant defense;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6KV62,A0A1D6KV62_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,,,ONM06418.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI0008444C20 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,
A0A1D6HQM5,A0A1D6HQM5_MAIZE,Zea mays (Maize),18-cineole synthase 1 chloroplastic,ZEAMMB73_Zm00001d018611,"Zm00001d018611_P001, ",PAC:40172170 ,ONM50868.1,ZEAMMB73_Zm00001d018611,4577,,UPI0008423D6D ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6KV46,A0A1D6KV46_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P003, ",PAC:40205695 ,ONM06436.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI00084335C1 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
Q6JD72,TPS5C_MAIZE,Zea mays (Maize),Inactive sesquithujene synthase (Terpene synthase 5) (tps5-B73),TPS5 ZEAMMB73_Zm00001d024481,,,AAS88572.1,"ZEAMMB73_Zm00001d024481, TPS5",4577,,UPI00022186DA ,Cytoplasm;Magnesium;Manganese;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
B2C4D0,TS23B_MAIZE,Zea mays (Maize),(E)-beta-caryophyllene synthase (EC 4.2.3.57) (Terpene synthase 23),TPS23 ZEAMMB73_Zm00001d024234,,,ABY79206.1,"ZEAMMB73_Zm00001d024234, TPS23",4577,4.2.3.57,UPI00017219AF ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Plant defense;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,(-)-E-beta-caryophyllene synthase activity [GO:0080016]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6IY12,A0A1D6IY12_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d024208,"Zm00001d024208_P001, ",PAC:40179168 ,AQK40798.1,ZEAMMB73_Zm00001d024208,4577,,UPI00084295CB ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6KV60,A0A1D6KV60_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P017, ",PAC:40205704 ,ONM06423.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI0008434C72 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
Q84ZW8,ACSS_MAIZE,Zea mays (Maize),"Acyclic sesquiterpene synthase ((3R,6E)-nerolidol synthase) (EC 4.2.3.49) ((R)-linalool synthase) (EC 4.2.3.26) (Beta-farnesene synthase) (EC 4.2.3.47) (Ent-kaurene synthase 2.1) (ZmKS2.1) (EC 4.2.3.19) (Farnesyl diphosphatase) (EC 3.1.7.6) (Geraniol synthase) (EC 3.1.7.11) (Terpene synthase 1) (ZmTPS1)",TPS1 csu186 eks1 KS2.1 GRMZM2G049538 ZEAMMB73_Zm00001d002351,"Zm00001d002351_P001, ",PAC:40191821 ,AAO18435.1,"GRMZM2G049538 ZEAMMB73_Zm00001d002351, TPS1GRMZM2G49538 ZEAMMB73_Zm1d2351, TPS1, csu186 eks1 KS2.1",4577,4.2.3.49; 4.2.3.26; 4.2.3.47; 4.2.3.19; 3.1.7.6; 3.1.7.11,UPI000221ED0C ,Chloroplast;Cytoplasm;Hydrolase;Lyase;Magnesium;Manganese;Metal-binding;Plant defense;Plastid;Reference proteome;Transit peptide,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,(3R)-(E)-nerolidol synthase activity [GO:0102145]; ent-kaurene synthase activity [GO:0009899]; hydrolase activity [GO:0016787]; magnesium ion binding [GO:0000287]; R-linalool synthase activity [GO:0034008]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6EEQ1,A0A1D6EEQ1_MAIZE,Zea mays (Maize),18-cineole synthase 1 chloroplastic,ZEAMMB73_Zm00001d004279,"Zm00001d004279_P001, ",PAC:40194152 ,ONM18692.1,ZEAMMB73_Zm00001d004279,4577,,UPI0008453CF3 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6KV72,A0A1D6KV72_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P025, ",PAC:40205707 ,ONM06419.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI000843FEF4 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6DZW3,A0A1D6DZW3_MAIZE,Zea mays (Maize),Terpene synthase1,541974 ZEAMMB73_Zm00001d002351,"Zm00001d002351_P002, ",PAC:40191822 ,ONM14043.1,"ZEAMMB73_Zm00001d002351, 541974",4577,,UPI0008424560 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6DZV7,A0A1D6DZV7_MAIZE,Zea mays (Maize),Kaurene synthase3,103645955 ZEAMMB73_Zm00001d002349,"Zm00001d002349_P005, ",PAC:40187446 ,ONM14029.1,"ZEAMMB73_Zm00001d002349, 103645955",4577,,UPI00084310A6 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6K5Q3,A0A1D6K5Q3_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d029523,"Zm00001d029523_P001, ",PAC:40216060 ,ONL98903.1,ZEAMMB73_Zm00001d029523,4577,,UPI0008428673 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6KV44,A0A1D6KV44_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P001, ",PAC:40205703 ,ONM06424.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI000221B886 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A5YZT9,A5YZT9_MAIZE,Zea mays (Maize),Monoterpene synthase (Terpene synthase26),tps26 ZEAMMB73_Zm00001d037092,"Zm00001d037092_P001, GRMZM2G030583_P03","PAC:40225356, PAC:31023933",ABR09292.1,"ZEAMMB73_Zm00001d037092, tps26",4577,,UPI00015664B9 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6IZP6,A0A1D6IZP6_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,"Zm00001d024512_P005, ",PAC:40181378,AQK41334.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI000845931B ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
Q29VN2,TPS2_MAIZE,Zea mays (Maize),"Terpene synthase 2, chloroplastic ((3S,6E)-nerolidol synthase) (EC 4.2.3.48) ((E,E)-geranyllinalool synthase) (EC 4.2.3.144) (S-(+)-linalool synthase) (EC 4.2.3.25)",TPS2 ZEAMMB73_Zm00001d015053,"Zm00001d015053_P001, GRMZM2G046615_P01","PAC:40281943, PAC:30985791",AAX99149.1,"ZEAMMB73_Zm00001d015053, TPS2",4577,4.2.3.48; 4.2.3.144; 4.2.3.25,UPI00006C66E5 ,Chloroplast;Lyase;Magnesium;Manganese;Metal-binding;Plant defense;Plastid;Reference proteome;Transit peptide,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,"(E,E)-geranyllinalool synthase activity [GO:0080013]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334]; S-linalool synthase activity [GO:0034007]",4577,MONOTERPENE SYNTHASE
A0A1D6IY09,A0A1D6IY09_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,542688 ZEAMMB73_Zm00001d024207,"Zm00001d024207_P001, ",PAC:40179248 ,AQK40796.1,"ZEAMMB73_Zm00001d024207, 542688",4577,,UPI000843F7F2 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6IY18,A0A1D6IY18_MAIZE,Zea mays (Maize),Terpene synthase6,103641097 ZEAMMB73_Zm00001d024210,"Zm00001d024210_P001, ",PAC:40177037 ,AQK40805.1,"ZEAMMB73_Zm00001d024210, 103641097",4577,,UPI000843FC3A ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6IZP3,A0A1D6IZP3_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,,,AQK41337.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI000845908D ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6IZI7,A0A1D6IZI7_MAIZE,Zea mays (Maize),Terpene synthase9,ZEAMMB73_Zm00001d024477,"Zm00001d024477_P001, ",PAC:40175780 ,AQK41276.1,ZEAMMB73_Zm00001d024477,4577,,UPI0008435901 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6MTY3,A0A1D6MTY3_MAIZE,Zea mays (Maize),Kaurene synthase4,ZEAMMB73_Zm00001d041082,"Zm00001d041082_P002, ",PAC:40234341 ,ONM32348.1,ZEAMMB73_Zm00001d041082,4577,,UPI0008438789 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6K3D6,A0A1D6K3D6_MAIZE,Zea mays (Maize),Terpene synthase8,732834 ZEAMMB73_Zm00001d029195,"Zm00001d029195_P003, ",PAC:40210278 ,ONL98159.1,"ZEAMMB73_Zm00001d029195, 732834",4577,,UPI000844A30C ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6NT87,A0A1D6NT87_MAIZE,Zea mays (Maize),Sesquiterpene cyclase1,ZEAMMB73_Zm00001d045054,"Zm00001d045054_P001, ",PAC:40254380 ,AQL01434.1,ZEAMMB73_Zm00001d045054,4577,,UPI000842DB98 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6IZP9,A0A1D6IZP9_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,"Zm00001d024512_P003, ",PAC:40181380 ,AQK41336.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI000843A230 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6J0X1,A0A1D6J0X1_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d024669,,,AQK41708.1,ZEAMMB73_Zm00001d024669,4577,,UPI0008440E00 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6IZP5,A0A1D6IZP5_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,"Zm00001d024512_P004, ",PAC:40181376 ,AQK41333.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI0004DEB4C6 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6KV73,A0A1D6KV73_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,,,ONM06434.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI0008447F91 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,
A0A1D6K3D7,A0A1D6K3D7_MAIZE,Zea mays (Maize),Terpene synthase8,732834 ZEAMMB73_Zm00001d029195,"Zm00001d029195_P002, ",PAC:40210277 ,ONL98160.1,"ZEAMMB73_Zm00001d029195, 732834",4577,,UPI0008453742 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A1D6DZV8,A0A1D6DZV8_MAIZE,Zea mays (Maize),Kaurene synthase3,103645955 ZEAMMB73_Zm00001d002349,,,ONM14034.1,"ZEAMMB73_Zm00001d002349, 103645955",4577,,UPI0008439965 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
Q41771,AN1_MAIZE,Zea mays (Maize),"Ent-copalyl diphosphate synthase AN1, chloroplastic (Ent-CPP synthase) (Ent-CPS) (EC 5.5.1.13) (Ent-kaurene synthase A) (Protein ANTHER EAR 1)",AN1 ZEAMMB73_Zm00001d032961,,,AAA73960.1,"ZEAMMB73_Zm00001d032961, AN1",4577,5.5.1.13,UPI00117BDF13 ,Chloroplast;Isomerase;Magnesium;Metal-binding;Plastid;Reference proteome;Transit peptide,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,ent-copalyl diphosphate synthase activity [GO:0009905]; isomerase activity [GO:0016853]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6LTV0,TPS26_MAIZE,Zea mays (Maize),"Alpha-terpineol synthase, chloroplastic (EC 4.2.3.111) (4-terpineol synthase) (EC 4.2.3.-) (Alpha-terpinolene synthase) (EC 4.2.3.113) (Beta-myrcene synthase) (EC 4.2.3.15) (Gamma-terpinene synthase) (EC 4.2.3.114) (Limonene synthase) (EC 4.2.3.16) (Terpene synthase 26, chloroplastic)",TPS26 ZEAMMB73_Zm00001d037092,"Zm00001d037092_P002, ",PAC:40225357 ,ABR09288.1,"ZEAMMB73_Zm00001d037092, TPS26",4577,4.2.3.111; 4.2.3.-; 4.2.3.113; 4.2.3.15; 4.2.3.114; 4.2.3.16,UPI0002220BF6 ,Alternative splicing;Chloroplast;Cobalt;Lyase;Magnesium;Manganese;Metal-binding;Plastid;Reference proteome;Transit peptide,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,(4S)-limonene synthase activity [GO:0050552]; gamma-terpinene synthase activity [GO:0102903]; magnesium ion binding [GO:0000287]; myrcene synthase activity [GO:0050551]; terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6J0W8,A0A1D6J0W8_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d024669,"Zm00001d024669_P001, ",PAC:40179420 ,AQK41709.1,ZEAMMB73_Zm00001d024669,4577,,UPI000842B2C2 ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
K7TZZ1,K7TZZ1_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,ZEAMMB73_Zm00001d024669,,,AQK41711.1,ZEAMMB73_Zm00001d024669,4577,,UPI0002209A1F ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6QTD3,A0A1D6QTD3_MAIZE,Zea mays (Maize),S-(+)-linalool synthase chloroplastic,ZEAMMB73_Zm00001d053916,,,AQK60701.1,ZEAMMB73_Zm00001d053916,4577,,UPI000843C0DC ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6KV49,A0A1D6KV49_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,,,ONM06425.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI000843EAF2 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,
A0A1D6KV71,A0A1D6KV71_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P028, ",PAC:40205710 ,ONM06417.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI000842DA1A ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A291LSD6,TPS21_MAIZE,Zea mays (Maize),Beta-selinene synthase (EC 4.2.3.66) (Terpene synthase 21) (ZmTps21),TPS21,,,ATI25525.1,TPS21,4577,4.2.3.66,UPI000BEAF1E7 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
A0A1D6IY22,A0A1D6IY22_MAIZE,Zea mays (Maize),Alpha-humulene/(-)-(E)-beta-caryophyllene synthase,103641099 ZEAMMB73_Zm00001d024211,"Zm00001d024211_P002, ",PAC:40179792 ,AQK40811.1,"ZEAMMB73_Zm00001d024211, 103641099",4577,,UPI0008448C7F ,Coiled coil;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
