uniprotkb_id	uniprotkbac_id	organism	tpsprotein_names	tpsgene_names	geneprimary_identifier	genesecondary_identifier	emblgenbankddbjcds_id	synonym	organism_id	ec_number	uniparc	keywords	crossreference_interpro	geneontology_molecularfunction	taxonomiclineage_id	TPS CLASSIFICATION
Q1XBU5	TPS5_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	(R)-linalool synthase TPS5, chloroplastic (EC 4.2.3.26) (Monoterpene synthase 1) (LeMTS1) (Terpenoid synthase 5)	TPS5 MTS1 Solyc01g105890			AAX69063.1	Solyc01g105890, TPS5Solyc1g1589, TPS5, TPS5, MTS1	4081	4.2.3.26	UPI0000D4FBF4 	Chloroplast;Lyase;Magnesium;Manganese;Metal-binding;Plastid;Reference proteome;Transit peptide	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; R-linalool synthase activity [GO:0034008]; terpene synthase activity [GO:0010333]	4081	MONOTERPENE SYNTHASE
G5CV42	G5CV42_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase	TPS36 101251484			AEP82770.1	TPS36, 101251484	4081		UPI00022CC6C8 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
K4BE78	K4BE78_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Putative geranyllinalool synthase	101262489			AIL54748.1	101262489	4081		UPI00027679BE 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	DITERPENE SYNTHASE
C1K5M3	PHS1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Beta-phellandrene synthase (neryl-diphosphate-cyclizing), chloroplastic (EC 4.2.3.51)	PHS1			ACO56896.1	PHS1	4081	4.2.3.51	UPI00019A9D1A 	Chloroplast;Lyase;Magnesium;Metal-binding;Plastid;Reference proteome;Transit peptide	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	MONOTERPENE SYNTHASE
A0A3Q7JU71	A0A3Q7JU71_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCDC3C7 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7GX41	A0A3Q7GX41_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000FD0040C 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A5H1ZRW4	A0A5H1ZRW4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCFA5EA 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
K4B2G2	K4B2G2_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000276915F 	Reference proteome	IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A3Q7EQP1	A0A3Q7EQP1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCE2E0F 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7GWQ3	A0A3Q7GWQ3_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCF9DD9 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7ERH7	A0A3Q7ERH7_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCE86E8 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7FRU1	A0A3Q7FRU1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000E1C92D7 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A3Q7HJB7	A0A3Q7HJB7_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FD0B762 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7ERH3	A0A3Q7ERH3_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000276915E 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A3Q7HGZ9	A0A3Q7HGZ9_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCD8773 	Coiled coil;Prenyltransferase;Reference proteome;Transferase	IPR008949;IPR001330;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; prenyltransferase activity [GO:0004659]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7HGI1	A0A3Q7HGI1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000FCE5B75 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A3Q7ESR8	A0A3Q7ESR8_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCE4D97 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7GIS4	A0A3Q7GIS4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCF6EA8 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7EP29	A0A3Q7EP29_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCF8572 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7H7Q6	A0A3Q7H7Q6_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000276B5F9 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7I9K4	A0A3Q7I9K4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Inositol oxygenase (EC 1.13.99.1)						4081	1.13.99.1	UPI000FCFBF85 	Ascorbate biosynthesis;Coiled coil;Cytoplasm;Metal-binding;Oxidoreductase;Reference proteome	IPR007828;IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	inositol oxygenase activity [GO:0050113]; iron ion binding [GO:0005506]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7EQP6	A0A3Q7EQP6_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FD00688 	Metal-binding;Reference proteome	IPR024937;IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	cyclase activity [GO:0009975]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
K4BEJ5	K4BEJ5_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein	101258440				101258440	4081		UPI000276831D 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7I9F7	A0A3Q7I9F7_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCF8C67 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7HAT2	A0A3Q7HAT2_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	SWIM-type domain-containing protein						4081		UPI000FCDDEE1 	Metal-binding;Reference proteome;Zinc;Zinc-finger	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;IPR006564;IPR007527;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]; zinc ion binding [GO:0008270]	4081	
A0A3Q7FRT4	A0A3Q7FRT4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein	101260508				101260508	4081		UPI0002768C1C 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7I199	A0A3Q7I199_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth domain-containing protein						4081		UPI000FCEF1EE 	Coiled coil;Reference proteome	IPR008949;IPR001906;IPR036965;IPR008930;	terpene synthase activity [GO:0010333]	4081	
A0A3Q7HJC0	A0A3Q7HJC0_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FCE9C67 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7F5D8	A0A3Q7F5D8_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FCDB5F1 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7I7Z9	A0A3Q7I7Z9_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FD0E3A0 	Coiled coil;Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7EPF7	A0A3Q7EPF7_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FCD9D73 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7FRD0	A0A3Q7FRD0_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FCED577 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7IGV8	A0A3Q7IGV8_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCEE72F 	Reference proteome	IPR008949;		4081	UNCHARACTERIZED
A0A3Q7F4S3	A0A3Q7F4S3_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI0002768C1D 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
K4CX74	K4CX74_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000276C75F 	Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7GTI4	A0A3Q7GTI4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Uncharacterized protein						4081		UPI000FCE54CA 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	UNCHARACTERIZED
A0A3Q7HJD6	A0A3Q7HJD6_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein						4081		UPI000FCFA9A9 	Membrane;Reference proteome;Transmembrane;Transmembrane helix	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
A0A3Q7HDT6	A0A3Q7HDT6_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene_synth_C domain-containing protein	101251305				101251305	4081		UPI000276B646 	Coiled coil;Reference proteome	IPR008949;IPR005630;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
B8XA41	SBS_SOLHA	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	Santalene and bergamotene synthase, chloroplastic ((+)-alpha-santalene synthase ((2Z,6Z)-farnesyl diphosphate cyclizing)) (EC 4.2.3.50) ((+)-endo-beta-bergamotene synthase ((2Z,6Z)-farnesyl diphosphate cyclizing)) (EC 4.2.3.53) ((-)-endo-alpha-bergamotene synthase ((2Z,6Z)-farnesyl diphosphate cyclizing)) (EC 4.2.3.54)	SBS				SBS	62890	4.2.3.50; 4.2.3.53; 4.2.3.54	UPI0001894F6F 	Chloroplast;Lyase;Magnesium;Manganese;Metal-binding;Plastid;Transit peptide	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	alpha-santalene synthase activity [GO:0102062]; endo-alpha-bergamontene synthase activity [GO:0102060]; endo-beta-bergamontene synthase activity [GO:0102061]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	62890	MONOTERPENE SYNTHASE
C1K5M2	CPT1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Dimethylallylcistransferase CPT1, chloroplastic (EC 2.5.1.28) (Cis-prenyltransferase 1) (SlCPT1) (Neryl-diphosphate synthase 1)	CPT1 NDPS1				CPT1, NDPS1	4081	2.5.1.28	UPI00019A9D19 	Chloroplast;Magnesium;Metal-binding;Plastid;Reference proteome;Transferase;Transit peptide	IPR001441;IPR018520;IPR036424;	dehydrodolichyl diphosphate synthase activity [GO:0045547]; dimethylallylcistransferase activity [GO:0047863]; magnesium ion binding [GO:0000287]; polyprenyltransferase activity [GO:0002094]; prenyltransferase activity [GO:0004659]	4081	PRENYL TRANSFERASE
E7DN64	DAMS_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Delta-amyrin synthase (EC 5.4.99.55) (Alpha-amyrin synthase) (EC 5.4.99.40) (Beta-amyrin synthase) (EC 5.4.99.39) (Triterpenoid synthase 2) (SlTTS2)	TTS2				TTS2	4081	5.4.99.55; 5.4.99.40; 5.4.99.39	UPI0001F3F485 	Isomerase;Reference proteome;Repeat	IPR032696;IPR032697;IPR018333;IPR002365;IPR008930;	beta-amyrin synthase activity [GO:0042300]; lanosterol synthase activity [GO:0000250]	4081	TRITERPENOID SYNTHASE
K7WQ45	CPT2_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Nerylneryl diphosphate synthase CPT2, chloroplastic (EC 2.5.1.142) (Cis-prenyltransferase 2) (SlCPT2)	CPT2 Solyc08g005660				Solyc08g005660, CPT2	4081	2.5.1.142	UPI00029B823A 	Chloroplast;Magnesium;Metal-binding;Plastid;Reference proteome;Transferase;Transit peptide	IPR001441;IPR018520;IPR036424;	dimethylallylcistransferase activity [GO:0047863]; magnesium ion binding [GO:0000287]; prenyltransferase activity [GO:0004659]	4081	PRENYL TRANSFERASE
A0A060KY90	MYC1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Transcription factor MYC1 (SlMYC1)	MYC1 JAMYC10 Solyc08g005050				Solyc08g005050, MYC1Solyc8g55, MYC1, MYC1, JAMYC1	4081		UPI0002BCB2F2 	Activator;DNA-binding;Developmental protein;Nucleus;Reference proteome;Stress response;Transcription;Transcription regulation	IPR011598;IPR036638;IPR025610;	DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; sequence-specific DNA binding [GO:0043565]; transcription regulatory region sequence-specific DNA binding [GO:0000976]	4081	
K4B6C9	EOT1_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Protein EXPRESSION OF TERPENOIDS 1 (SlEOT1)	EOT1 Solyc02g062400				Solyc02g062400, EOT1	4081		UPI00027680B0 	Activator;DNA-binding;Metal-binding;Nucleus;Reference proteome;Transcription;Transcription regulation;Zinc	IPR007818;IPR006511;IPR006510;	DNA binding [GO:0003677]; metal ion binding [GO:0046872]	4081	
Q9FQ27	TPSGB_SOLHA	Solanum habrochaites (Wild tomato) (Lycopersicon hirsutum)	(E,E)-germacrene B synthase (EC 4.2.3.71)	SSTLH1				SSTLH1	62890	4.2.3.71	UPI00000A382D 	Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	62890	SESQUITERPENE SYNTHASE
A0A3Q7GFB5	WK72A_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	WRKY transcription factor 72A (SlWRKY72a) (SlWRKY73) (WRKY DNA-binding protein 72A)	WRKY72A WRKY73 Solyc03g113120				Solyc03g113120, WRKY72ASolyc3g11312, WRKY72AWRKY72A, WRKY73	4081		UPI000FCDEFD8 	Activator;Coiled coil;DNA-binding;Nucleus;Plant defense;Reference proteome;Transcription;Transcription regulation	IPR003657;IPR036576;	DNA-binding transcription factor activity [GO:0003700]; sequence-specific DNA binding [GO:0043565]	4081	
E7DN63	BAMS_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Beta-amyrin synthase (EC 5.4.99.39) (Triterpenoid synthase 1) (SlTTS1)	TTS1				TTS1	4081	5.4.99.39	UPI0001F3F484 	Isomerase;Reference proteome;Repeat	IPR032696;IPR032697;IPR018333;IPR002365;IPR008930;	beta-amyrin synthase activity [GO:0042300]; lanosterol synthase activity [GO:0000250]	4081	
